,resp_N,resp_Y
PSTN회선수,-0.039193861,0.039193861
모바일회선수,-0.039222746,0.039222746
SOIP회선수,-0.040524418,0.040524418
인터넷회선수,-0.003002934,0.003002934
IPTV회선수,-0.059374575,0.059374575
와이브로회선수,0.019945791,-0.019945791
모바일약정전여개월수,0.037390046,-0.037390046
모바일해지후개월수,0.031666047,-0.031666047
나이,-0.048796979,0.048796979
인터넷가입경과개월수,-0.046353104,0.046353104
인터넷만료기간개월수,0.017137662,-0.017137662
인터넷해지경과개월수,-0.012464156,0.012464156
IPTV약정만료잔여개월수,0.084918055,-0.084918055
IPTV_3개월_ARPU,-0.013262263,0.013262263
모바일_3개월_ARPU,-0.007466496,0.007466496
인터넷_3개월_ARPU,0.009907152,-0.009907152
모바일_6개월_ARPU,0.002035661,-0.002035661
인터넷_6개월_ARPU,0.034565541,-0.034565541
최근3개월IPTV_사용시간,-0.040949898,0.040949898
가입후경과개월수,0.052906647,-0.052906647
결합약정만료잔여개월수,-0.010187361,0.010187361
최근월PPV사용금액,-0.006638065,0.006638065
약정잔여개월수,0.07184452,-0.07184452
전월PPV사용요금,-0.001308466,0.001308466
최근3개월무료량초과개월수,-0.054311989,0.054311989
3개월_ARPU,0.028282234,-0.028282234
최근3개월무선데이터사용량,-1.07E-15,1.06E-15
최근무선데이터사용량,1.29E-15,-1.28E-15
이동전화결합회선수,-0.178831215,0.178831215
인터넷결합회선수,-0.10190077,0.10190077
PSTN결합회선수,-0.069684386,0.069684386
서비스사용개월수,-0.058939499,0.058939499
최근월청구금액,0.02752667,-0.02752667
최근6개월_ARPU,0.028239762,-0.028239762
현단말기사용일수,-6.63E-16,6.02E-16
서비스가입사용일수,-0.062267183,0.062267183
셋톱박스사용개월수,0.031195391,-0.031195391
멤버쉽잔여포인트,-0.045465458,0.045465458
단말기잔여할부개월수,1.29E-15,-1.28E-15
단말기잔여할부금액,6.63E-16,-6.02E-16
데이터총제공량,-1.74E-15,1.73E-15
말일데이터사용량,1.29E-15,-1.28E-15
말일데이터소진율,-2.51E-15,2.41E-15
평균3개월데이터소진율,1.78E-15,-1.79E-15
타사모바일사용단말기수,-0.012806595,0.012806595
타사추정만료단말기수,0.002919456,-0.002919456
최근3개월멤버쉽사용횟수,-0.062202395,0.062202395
최근6개월멤버쉽사용횟수,-0.064622286,0.064622286
최근1년멤버쉽사용횟수,-0.062122594,0.062122594
최근3개월VIP횟수,-0.034303503,0.034303503
최근6개월VIP초이스횟수,-0.04124776,0.04124776
최근3개월더블할인횟수,-0.06214865,0.06214865
최근6개월더블할인횟수,-0.060510405,0.060510405
최근1년베이커리횟수,-0.047054572,0.047054572
최근1년영화관람횟수,-0.024635934,0.024635934
최근3개월외식횟수,-0.020862143,0.020862143
최근1년외식횟수,-0.038611902,0.038611902
최근1년카페사용횟수,-0.053744347,0.053744347
최근3개월편의점사용횟수,-0.036400546,0.036400546
최근1년편의점사용횟수,-0.040598172,0.040598172
